id,created_at,text
1219628447808528384,Tue Jan 21 14:30:56 +0000 2020,@abc_es @Nenutxi2 La @PSOE de la mano de los etarras  @ehbildu  con tal de que @sanchezcastejon siga en… https://t.co/iQHZwctroh,
1219628453265379336,Tue Jan 21 14:30:57 +0000 2020,RT @pablocasado_: Es una ofensa para las víctimas del terrorismo que el PSOE pacte los presupuestos en Navarra con Bildu los mismos que ni…,
1219628462538969088,Tue Jan 21 14:30:59 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628464690454528,Tue Jan 21 14:31:00 +0000 2020,El PSOE de Lanjarón exige mejoras laborales para las auxiliares de Ayuda a Domicilio del Ayuntamiento https://t.co/n5KHhQvQHq,
1219628466330574851,Tue Jan 21 14:31:00 +0000 2020,RT @PSOE: 🏛 Tras los daños producidos por la DANA que azotó España el mes de septiembre hoy el #CMIN a propuesta de @mapagob ha ratifica…,
1219628471904874498,Tue Jan 21 14:31:01 +0000 2020,Voy a profetizarEl gobierno va a cambiar el código penal para suavizar delito sedición aplicarlo con carácter ret… https://t.co/xhExXjwYbG,
1219628475251920896,Tue Jan 21 14:31:02 +0000 2020,@jordi_canyas @PSOE @PODEMOS Por favor sea tan amable de no confundir ciudad con región. En esa comunidad autónoma… https://t.co/WSIX1lWBqK,
1219628495833325569,Tue Jan 21 14:31:07 +0000 2020,RT @salcedista: Con dous collóns e sen poñerse colorado nin nada! @TrendignoOU,
1219628506893733890,Tue Jan 21 14:31:10 +0000 2020,El Gobierno del PSOE da un impulso al turismo nacional y se dispone a crear más de 500.000 empleos.,
1219628513843695621,Tue Jan 21 14:31:11 +0000 2020,@Miotroyo2parte @sanchezcastejon Ahora resulta que la estúpida polémica del pin lo ha generado el PSOE. Sois patéticos.,
1219628520349097987,Tue Jan 21 14:31:13 +0000 2020,RT @inma_ben: @PODEMOS @PSOE ..siempre con la palabra IGUALDAD en la boca. Si realmente defendieran esocondenarían a todas estas mujeres q…,
1219628527106039808,Tue Jan 21 14:31:15 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628531191296000,Tue Jan 21 14:31:16 +0000 2020,RT @AlLeganes: Hola @MasPais_Es 👋!!! Gobernais en #Leganes con @PSOE... nos podeis explicar como consentís que este jueves @SantiagLlorent…,
1219628535566032906,Tue Jan 21 14:31:17 +0000 2020,RT @Tampm_Palencia: @PSPVcorts @ErnestoBlanch @rosaperis1 @Tampm_Picassent @TriniCastell @SabinaEM19 @mercaballero2 @CarlosLagunaAse @Flord…,
1219628539894534144,Tue Jan 21 14:31:18 +0000 2020,RT @valkiria642: Tomaaaa !!Prisión para Alejandro Díaz lider de la juventud de PSOE en Elche por abusar presuntamente de una niña de 2…,
1219628546865483777,Tue Jan 21 14:31:19 +0000 2020,@xiskya @josefer_juan @profedeprimari @smdani @CasaReal @meritxell_batet @GPPopular @pablocasado_ @sanchezcastejon… https://t.co/IffCwiHZih,
1219628547867860993,Tue Jan 21 14:31:20 +0000 2020,RT @PSOE: 🏛 El #CMin reconoce la dedicación esfuerzo y profesionalidad de quienes se dedican al servicio público.El Gobierno cumple así…,
1219628548140519426,Tue Jan 21 14:31:20 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628550795472897,Tue Jan 21 14:31:20 +0000 2020,RT @Con52Gigantes: Una cosa es ciertafuman lo mismo.🤮🤮🤮🤮"Los hijos no pertenecen a los padres" (@CelaaIsabel )."La tierra no pertenece a…,
1219628555564396544,Tue Jan 21 14:31:21 +0000 2020,RT @PSOE: 🌹 “No hay socialismo sin revolución. No hay revolución sin moral personal sin trabajo y sin entusiasmo por la libertad.”Un 19…,
1219628561709043720,Tue Jan 21 14:31:23 +0000 2020,RT @PSOE: El #CMin ha aprobado un RDL sobre incremento retributivo del sector público en 2020.🏛 Las retribuciones de l@s emplead@s públic…,
1219628562787061760,Tue Jan 21 14:31:23 +0000 2020,RT @ppandaluz: 📺 "Es triste ver cómo el PSOE utiliza a la mujer y los temas sociales habla mucho de ellos mientras dan el cerrojazo a los…,
1219628562912772096,Tue Jan 21 14:31:23 +0000 2020,RT @3porciento_3: Caso Gürtel.importe desviado: 120 millones.Partido implicado: PP.Consecuencias: caída del Gobierno del PP.Caso ERE.I…,
1219628572362596359,Tue Jan 21 14:31:25 +0000 2020,RT @alibonbel: @J_Zaragoza_ El PIN de Vox niega a los hijos estudiar en castellano...Coño! Que me he liado que ese es el pin de los nazio…,
1219628574015135744,Tue Jan 21 14:31:26 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628575487397891,Tue Jan 21 14:31:26 +0000 2020,RT @Con52Gigantes: Vox llega a 60 escaños el único partido que crece tras el pacto de Gobierno entre PSOE y Podemos @DebatAlRojoVivo  🤣🤣🤣🖕…,
1219628577446076418,Tue Jan 21 14:31:27 +0000 2020,RT @PSOE: 🌍 El objetivo de la Declaración es lograr un proyecto de futuro común más justo y equitativo que aproveche las oportunidades de…,
1219628583745937409,Tue Jan 21 14:31:28 +0000 2020,RT @davidmartinezg: El PSOE pacta con Bildu los presupuestos de Navarra. Ya advirtió Sánchez de que lo haría. Cinco veces. O veinte. https:…,
1219628585524305923,Tue Jan 21 14:31:29 +0000 2020,@IreneMontero 🔴Mientras discutimos del #PIN..La supuesta violación grupal cometida en Palma la Nochebuena pasada h… https://t.co/HRWCt9r5tq,
1219628588648951808,Tue Jan 21 14:31:29 +0000 2020,RT @JCarlosocafe: @PSPVcorts @ErnestoBlanch @rosaperis1 @Tampm_Picassent @TriniCastell @SabinaEM19 @mercaballero2 @CarlosLagunaAse @Flordel…,
1219628593787043847,Tue Jan 21 14:31:31 +0000 2020,Perro @sanchezcastejon te acuerdas? Ni tres meses. haora que vas a modificar el Código Penal lo vas a incluir? aja… https://t.co/dDag06FSOz,
1219628594466639873,Tue Jan 21 14:31:31 +0000 2020,Expediente Royuela: el fiscal Mena mandó asesinar al senador del PP Alberto Pindado por orden del PSOE  https://t.co/8eJ6qC2VrW,
1219628594504388613,Tue Jan 21 14:31:31 +0000 2020,RT @PSOE: 🌍 Primeras medidas para hacer frente a la Emergencia Climática:♻ Segundo Plan Nacional de Adaptación al Cambio Climático.♻ As…,
1219628600749588481,Tue Jan 21 14:31:32 +0000 2020,RT @BECAES_: @elespanolcom Pero sí puedes elegir desnutrir a los hijos de los demás dilapidando 700 millones de € en una red clientelar cor…,
1219628609217945600,Tue Jan 21 14:31:34 +0000 2020,RT @JulioAl18175505: @Sergio66800069 @Ainosocialista @PSOE No mientas fachita  no te valdrá de nada 😂😂 el milagro económico del PP esta en…,
1219628609327058946,Tue Jan 21 14:31:34 +0000 2020,RT @pablocasado_: Es una ofensa para las víctimas del terrorismo que el PSOE pacte los presupuestos en Navarra con Bildu los mismos que ni…,
1219628620941090816,Tue Jan 21 14:31:37 +0000 2020,RT @PeFuCas: "Recordamos al @PSOE q son muchas las familias q en España desde hace años se han formado d esta manera y q existen menores…,
1219628622052503557,Tue Jan 21 14:31:37 +0000 2020,RT @PSOE: 🌍 Primeras medidas para hacer frente a la Emergencia Climática:♻ Ley de Cambio climático.🏛 Definición de la senda de descarbo…,
1219628627815432194,Tue Jan 21 14:31:39 +0000 2020,RT @usuariocastilla: Oye que dice el gobierno del psoe q el pp se deja arrastrar por la ultraderecha el mismo día que firman un pacto hist…,
1219628633045774336,Tue Jan 21 14:31:40 +0000 2020,@Teresaribera @PSOE Y eso cuánto le va a costar a los españoles?,
1219628641224732675,Tue Jan 21 14:31:42 +0000 2020,RT @PSOE: 🏛️ @Teresaribera: Hoy hemos adoptado por acuerdo del #CMin la declaración de Emergencia Climática por tres razones:⚖️ Justicia.…,
1219628643019886594,Tue Jan 21 14:31:42 +0000 2020,RT @GPPAytoJaen: ❌ Reprobamos al Presidente Sánchez y al Psoe por pactar con aquellos que quieren romper España 🇪🇸  no respetan nuestra Ca…,
1219628648401178626,Tue Jan 21 14:31:44 +0000 2020,RT @valkiria642: Deja ya de engañar y mentir a los españoles.Lo que tienes que hacer es devolver el dinero que le ha robado el PSOE   a l…,
1219628660048760834,Tue Jan 21 14:31:46 +0000 2020,RT @PSOE: 🏃‍♀️🏃‍♂️ El #CMin ha concedido hoy la nacionalidad española a dos deportistas:🤽‍ Martín Femera waterpolista de origen checo.…,
1219628666222673921,Tue Jan 21 14:31:48 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628671243366403,Tue Jan 21 14:31:49 +0000 2020,RT @BraisRomanino: Tranquilizar a los de arriba para que todo cambie lo menos posible para lxs de abajo 👇,
1219628671335641088,Tue Jan 21 14:31:49 +0000 2020,Ciudadanos es lo peor que le ha pasado a este país en muchos años.,
1219628672052797440,Tue Jan 21 14:31:49 +0000 2020,RT @JaiLwolf: @PabloIglesias Señor @PabloIglesias también existe emergencia en las cárceles españolas y ustedes lo saben bien. Ayer otros 3…,
1219628675307581442,Tue Jan 21 14:31:50 +0000 2020,RT @PSOE: 🏛 Tras los daños producidos por la DANA que azotó España el mes de septiembre hoy el #CMIN a propuesta de @mapagob ha ratifica…,
1219628677622902792,Tue Jan 21 14:31:51 +0000 2020,RT @PSOE: 🏛️ @mjmonteroc: Hoy es el primer #CMin en martes algo que no ocurría desde hace décadas. Se hace para ganar anticipación y dinam…,
1219628683494854657,Tue Jan 21 14:31:52 +0000 2020,RT @GPPAytoJaen: 👉🏻 Solicitamos a Pedro Sánchez y el Psoe que rompa de inmediato el pacto de gobierno con todos aquellos partidos al margen…,
1219628685793398785,Tue Jan 21 14:31:52 +0000 2020,@sanchezcastejon ¿Y eso cómo se traduce en la práctica? ¿eso qué es lo que es? por lo pronto que el @PSOE devuelv… https://t.co/OYd2Pno9SU,
1219628691124293633,Tue Jan 21 14:31:54 +0000 2020,RT @FAM63: Aqui @pablocasado_ comerciando con la sangre y el dolor de las víctimas de ETA. Ademas de ser un fraude como politico licenciad…,
1219628693276053505,Tue Jan 21 14:31:54 +0000 2020,Que estemos pagando los ciudadanos a gente como @J_Zaragoza_ por sentarse a calentar un banco del congreso es la cl… https://t.co/dt3o5sCFCV,
1219628696845410304,Tue Jan 21 14:31:55 +0000 2020,RT @LuisPerezCam7: Y vuelta el PP al trigo progre!!!! si es que no fallan!!!!🤬🤬🤬🤬🤬,
1219628706249027589,Tue Jan 21 14:31:57 +0000 2020,RT @vezapurpura: https://t.co/G4MKxxC06m4 Dimisiones? Qué el PSOE Andaluz debería estar entero sentado en el banquillo .38 años ROBANDO a…,
1219628707310186498,Tue Jan 21 14:31:58 +0000 2020,RT @Con52Gigantes: Una cosa es ciertafuman lo mismo.🤮🤮🤮🤮"Los hijos no pertenecen a los padres" (@CelaaIsabel )."La tierra no pertenece a…,
1219628711198240768,Tue Jan 21 14:31:59 +0000 2020,RT @Rafa2764: @sanchezcastejon ¿Y eso cómo se traduce en la práctica? ¿eso qué es lo que es? por lo pronto que el @PSOE devuelva lo robad…,
1219628724116688896,Tue Jan 21 14:32:02 +0000 2020,RT @jaimedeolano: Recuerda que si te parece inadmisible o malo para España te tacharán de radical o ultra:🤬 Sánchez se reunirá con el in…,
1219628724238323714,Tue Jan 21 14:32:02 +0000 2020,RT @PSOE: El #CMin ha aprobado un RDL sobre incremento retributivo del sector público en 2020.🏛 Las retribuciones de l@s emplead@s públic…,
1219628724406116355,Tue Jan 21 14:32:02 +0000 2020,RT @numer344: A ver si terminan de llamar facha a PP y VOX por lo del pin parental para poder hablar de otros temas como la Red de prostit…,
1219628725807058944,Tue Jan 21 14:32:02 +0000 2020,RT @pablocasado_: Es una ofensa para las víctimas del terrorismo que el PSOE pacte los presupuestos en Navarra con Bildu los mismos que ni…,
1219628729661562882,Tue Jan 21 14:32:03 +0000 2020,RT @inma_ben: @PODEMOS @PSOE ..siempre con la palabra IGUALDAD en la boca. Si realmente defendieran esocondenarían a todas estas mujeres q…,
1219628737978912768,Tue Jan 21 14:32:05 +0000 2020,Perdón?,
1219628740222902273,Tue Jan 21 14:32:05 +0000 2020,El plan mágico del PSOE para hacer una felación a Junqueras consiste en promover una reforma del Código Penal en el… https://t.co/197X25SB4h,
1219628741892169735,Tue Jan 21 14:32:06 +0000 2020,Armengol del PSOE,
1219628744295559169,Tue Jan 21 14:32:06 +0000 2020,RT @PSOE: 🏛️ @mjmonteroc: Hoy es el primer #CMin en martes algo que no ocurría desde hace décadas. Se hace para ganar anticipación y dinam…,
1219628746099056640,Tue Jan 21 14:32:07 +0000 2020,@merygarcia03s @sanchezcastejon @UV_EG @compromis @PSOE @PSOEValencia Se estudia lengua catalana como también estud… https://t.co/6EElgLz6UK,
1219628754118631424,Tue Jan 21 14:32:09 +0000 2020,Ningún informativo. Todos mudos con los ERE.,
1219628755020328964,Tue Jan 21 14:32:09 +0000 2020,Este cerdo abuso de una niña como la mia? dos años? Si fuera por mi la pena de muerte estaria en el codigo penal. 😡… https://t.co/UoEY1EyJOM,
1219628756115054598,Tue Jan 21 14:32:09 +0000 2020,RT @Latanace: Disculpen @PSOE @PODEMOS ¿suprimen los colegios de educación especial? ¿Por qué?,
1219628757981499393,Tue Jan 21 14:32:10 +0000 2020,RT @aurorab933: Tres noticias que se entienden mejor juntas.Tienen que tener contento a Maduro no vaya a ser que hable más de la cuenta. C…,
1219628758505873408,Tue Jan 21 14:32:10 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628760162545671,Tue Jan 21 14:32:10 +0000 2020,RT @hugomanchon: Carmen Calvo responde a la RAE: “El lenguaje inclusivo no hay quien lo pare”.Para que se entienda: aquí manda el PSOE y…,
1219628766005252096,Tue Jan 21 14:32:12 +0000 2020,RT @BlaancaNiieves: Joder con los patriotas la cubana y el calzonazos cortijero vaya educación que están dando a sus 4 hijos https://…,
1219628768198873095,Tue Jan 21 14:32:12 +0000 2020,RT @PSOE: 🏛️ @mjmonteroc sobre el veto educativo: Todavía hay partidos que en pleno siglo XXI ni defienden la escuela pública ni respetan…,
